"Veronica Bowman","CSCI-1122"
"Erica Hansen","CHEM-2811"
"Cindy Johnson","PSYC-2386"
"Michael Chambers","PSYC-3719"
"Joseph Zimmerman","CSCI-2175"
"Richard Eaton","PHYS-1779"
"Cody Leblanc","ITWS-4599"
"Joseph Mckinney","BIOL-3523"
"Ivan Davis","ENGR-3516"
"Tina Kelly","CHEM-2900"
"Sally Carroll","STSO-3372"
"Nathan Mcdonald","BIOL-3442"
"Nathaniel Fleming","ITWS-3755"
"Jamie Neal","CSCI-3335"
"Erica Mills","ITWS-2265"
"Jeffrey Franklin","CHEM-1634"
"Ian Lewis","PSYC-3444"
"Justin Gallegos","ENGR-2794"
"Roberta Doyle","ECSE-2193"
"Aaron Wallace","PHYS-4296"
"Lori White","MATH-2131"
"Catherine Barker","MATH-2798"
"Jerry Perkins","CHEM-3645"
"Jesse Benson","PSYC-2186"
"Terry Jacobson","PSYC-3952"
"Daniel Villa","ECSE-1784"
"Gary Perry","CSCI-2246"
"Stephen Smith","STSO-2494"
"Natalie Hines","CHEM-4228"
"Joe Tran","ENGR-3943"
"Kenneth Stanley","CHEM-3851"
"Stephanie Glenn","CHEM-3902"
"Rachel Medina","ITWS-2193"
"Kayla Todd","STSO-1683"
"Scott Peck","PHYS-2624"
"Kyle Dixon","MATH-4870"
"Sandra Brewer","PHYS-2870"
"Jenny Stevens","ECSE-3560"
"Vincent Rodriguez","STSO-1225"
"Jennifer Fischer","CHEM-3267"
"April Lopez","PHYS-2618"
"Susan Patel","MATH-2918"
"Lisa Gonzales","CHEM-2023"
"Ivan Carter","STSO-3417"
"Jennifer Watson","PHYS-2196"
"Drew Jones","MATH-2018"
"Patricia Campos","STSO-4172"
"Raymond Pugh","CSCI-2883"
"Eric Sims","CHEM-1501"
"Cory Hughes","MATH-2229"
"Janet Ayala","MATH-1187"
"Rebecca Ferguson","MATH-1573"
"Caitlin Howard","ENGR-3194"
"Jonathan Wilson","ENGR-3027"
"Charlotte Mcbride","ECSE-1617"
"Elizabeth Hoover","ENGR-4209"
"Nicholas Moss","BIOL-4218"
"Christopher Guerrero","STSO-4576"
"Elizabeth Perez","PSYC-2849"
"Sean Martinez","CSCI-4132"
"Kevin Rosales","ECSE-4755"
"Shannon Hammond","CHEM-2835"
"Michaela Smith","CSCI-3283"
"Kristen Frost","BIOL-2393"
"Kathryn Jimenez","PSYC-1213"
"Kathryn Lane","BIOL-3412"
"Elaine Wilson","PSYC-3461"
"Stephanie Jackson","MATH-4288"
"Justin Robinson","CHEM-4958"
"Lynn Morales","PSYC-4372"
"Diane Fox","PSYC-2754"
"Andrea Bradford","ITWS-1693"
"Kyle Ward","STSO-1163"
"Taylor Davis","PHYS-2562"
"Cynthia Mclaughlin","PSYC-2186"
"Harry Lutz","ENGR-1960"
"John Briggs","BIOL-3146"
"Gerald Cain","ECSE-3784"
"Emily Adams","PHYS-3652"
"Annette Moore","PHYS-3045"
"Christina Edwards","CSCI-2002"
"Christopher Wong","ITWS-4898"
"Michelle Gamble","ENGR-4054"
"Aaron Hayes","PHYS-1563"
"Rhonda Garcia","PSYC-4615"
"Margaret Cole","ENGR-4057"
"Bobby Chavez","STSO-3173"
"Diana Yoder","ECSE-1212"
"Sydney Parker","STSO-3513"
"Megan Morris","ECSE-2245"
"Sherry Miller","ITWS-1064"
"Anthony Haley","MATH-4871"
"Sandra Brewer","CHEM-1585"
"Barbara Hayes","ECSE-3859"
"Richard Madden","ITWS-3552"
"Joshua Taylor","PSYC-3000"
"Luis Alexander","PSYC-4059"
"Ashley Patton","CHEM-4909"
"John Harris","MATH-4259"
"Eric Allison","MATH-1555"
"Misty Taylor","BIOL-4461"
"Carla Glass","STSO-4299"
"Laura Brewer","ECSE-1763"
"Kenneth Jenkins","STSO-4313"
"Nicole Perez","ENGR-1562"
"Shannon Welch","MATH-1543"
"Christopher Caldwell","ENGR-3437"
"Joshua Pineda","STSO-2723"
"Catherine Rios","MATH-3122"
"Elizabeth Williams","BIOL-1679"
"Carrie Lambert","CHEM-1875"
"Ralph Banks","PHYS-3046"
"Kimberly Evans","BIOL-1322"
"Lisa Gillespie","ENGR-1789"
"Emily Adams","CHEM-3267"
"Robert Ashley","MATH-3367"
"Michele Hopkins","BIOL-2163"
"Vanessa Phillips","PSYC-2746"
"Megan Walker","PSYC-2826"
"Katherine Trujillo","PHYS-3856"
"Tammy Stewart","ENGR-4404"
"Walter Richardson","CHEM-3957"
"Catherine Hendrix","BIOL-2896"
"Michael French","ITWS-2862"
"Becky Harmon","MATH-2162"
"Corey Dodson","PSYC-1889"
"Sean Davies","ENGR-4136"
"Olivia Butler","ITWS-3077"
"Jason Murphy","MATH-4817"
"Ashley Lloyd","ITWS-1833"
"Martha Warner","BIOL-4495"
"Kevin Arellano","STSO-3752"
"Jose Dawson","PSYC-1303"
"Nathan Burns","ECSE-4767"
"Christina Morris","PHYS-3027"
"Stacy Fry","STSO-1745"
"William White","ENGR-2473"
"Benjamin Freeman","MATH-1248"
"Christine Galvan","PHYS-4299"
"Matthew Adams","PSYC-3485"
"Dale Smith","MATH-2950"
"Robert Armstrong","ITWS-2165"
"Andrew Ryan","BIOL-4696"
"Brianna Thompson","PHYS-3856"
"John Stout","STSO-4202"
"Ariana Randolph","PSYC-1544"
"Amanda Collins","ENGR-1186"
"Jessica Myers","MATH-4274"
"Joseph Bradley","PHYS-4296"
"Cassandra Lane","BIOL-2392"
"Sandy Richards","ECSE-3234"
"Maria Murray","ENGR-2882"
"Craig Cunningham","PHYS-3261"
"Brooke Harvey","ITWS-2361"
"Katrina Thompson","CSCI-4521"
"Jordan Watson","PSYC-3851"
"Amanda Kaiser","ECSE-2666"
"Nicole Reyes","ENGR-1180"
"Wanda Gomez","STSO-2232"
"Kristin Ramirez","CSCI-2510"
"Sandra Mendoza","STSO-2838"
"Jeremiah Lynch","ECSE-4345"
"Brittany Diaz","ITWS-1777"
"Brian Sharp","MATH-4259"
"Christine Avila","STSO-3786"
"Shannon Ramos","MATH-2142"
"Angela Gonzales","PHYS-3202"
"Stephanie Hull","STSO-2304"
"Cynthia Murphy","CHEM-2028"
"Jennifer Kennedy","CHEM-1359"
"Ashley Fuller","BIOL-2377"
"Matthew Valenzuela","ECSE-3168"
"Julie Hernandez","CHEM-1876"
"Caleb Jones","CSCI-1679"
"Ricardo Robertson","PHYS-4341"
"Eric Spears","ECSE-3698"
"Chad Cooper","ECSE-2247"
"Sheila Hernandez","STSO-3246"
"Arthur Hodge","PSYC-4172"
"Tamara Phillips","CHEM-3237"
"Michael Schmidt","MATH-2523"
"John Duran","ENGR-3351"
"Amanda Woodward","ITWS-3406"
"Keith Martinez","ECSE-3813"
"Tina Cook","ITWS-3230"
"Sean Martinez","CSCI-3116"
"Jennifer Graham","PSYC-1797"
"Alexis Cervantes","ECSE-3698"
"Crystal Thompson","ECSE-3365"
"Tamara Young","ENGR-3194"
"Ashley Jacobs","ENGR-4464"
"Toni Cooper","ECSE-3467"
"Valerie Camacho","PHYS-4541"
"Eric Tran","ENGR-1991"
"Christine Gomez","CSCI-1375"
"Jerry Perkins","STSO-2209"
"Logan Bailey","CSCI-1671"
"Krystal Caldwell","PHYS-2581"
"Jason Young","ITWS-1277"
"Angela Clark","PHYS-3045"
"Chelsea Erickson","PSYC-2145"
"Edward Jones","ITWS-4238"
"Denise Guzman","CSCI-3786"
"Janice Dunn","ITWS-1990"
"Carl Brown","CHEM-4878"
"Tina Simmons","CSCI-1381"
"Amy Jones","STSO-1177"
"George Cooper","ITWS-1248"
"Kimberly Beasley","ENGR-4907"
"Rebecca Ortega","CHEM-3645"
"Dennis Evans","BIOL-3842"
"Matthew Mckinney","ITWS-1744"
"Rebecca Fisher","BIOL-4397"
"Brianna Perez","PSYC-1617"
"Madison Mason","ECSE-1438"
"Victoria Rowe","BIOL-2340"
"Nicole Taylor","ENGR-1542"
"Michael Ball","ECSE-4993"
"Jennifer Mcdowell","ECSE-2022"
"Christopher Warren","CHEM-3500"
"Tracey Hopkins","PHYS-2196"
"Sharon Mcdaniel","CSCI-1343"
"Connie Jones","CHEM-1819"
"Cynthia Dalton","MATH-2692"
"Andrew Edwards","STSO-3442"
"Linda Bowers","ECSE-3187"
"Christine Moore","ECSE-2783"
"Charles Preston","STSO-4932"
"Stephanie Marshall","STSO-4621"
"Diana Perez","PSYC-4486"
"David Paul","CHEM-4212"
"Angelica Jones","STSO-4875"
"Bruce Harrison","STSO-2209"
"Robert Armstrong","CSCI-4425"
"Elizabeth Mccarthy","ENGR-3731"
"Melanie Carpenter","BIOL-3082"
"Rebecca Hester","ENGR-1907"
"Michele Willis","CHEM-2439"
"Jason Richardson","CSCI-3390"
"Samantha Brown","CHEM-1438"
"Justin Evans","ECSE-4401"
"Angelica Jones","CHEM-3603"
"Renee Rivera","PSYC-2531"
"Kelly Luna","CHEM-1291"
"Lisa Austin","ECSE-2802"
"Karen Fisher","CHEM-1744"
"Michael Chapman","PSYC-2754"
"Patrick Curtis","BIOL-3146"
"Pamela Myers","CSCI-3283"
"Adam Wise","STSO-2993"
"Christine Solomon","ECSE-2129"
"Christopher Briggs","PSYC-4665"
"Cynthia Jordan","ECSE-3950"
"Charles Bowen","PSYC-1401"
"Jeremy Whitehead","ENGR-1499"
"Christopher Fletcher","BIOL-1423"
"Ashley Lewis","ITWS-2438"
"Johnathan Romero","MATH-2016"
"Lisa Young","ECSE-2728"
"James Schneider","ITWS-4488"
"Ashley Washington","STSO-3085"
"Kevin Roberts","CHEM-3537"
"Jasmine Brown","PHYS-2618"
"Jennifer Kane","PSYC-1328"
"Bobby Garcia","ENGR-1562"
"Michael Scott","ITWS-3284"
"Gerald Mayer","CSCI-4238"
"Randall Jones","ITWS-2054"
"Ethan Rodriguez","CSCI-2002"
"Lee Brown","ECSE-3813"
"Steve Page","CSCI-3402"
"Catherine Garcia","PHYS-2196"
"Logan Marquez","ITWS-3109"
"Amber Quinn","MATH-1454"
"Stephanie Garcia","ECSE-1563"
"Susan Rush","PSYC-2451"
"Claudia Roberts","STSO-1566"
"Paula Williams","MATH-4662"
"Jeremy Sandoval","STSO-1905"
"Ashley Larsen","PHYS-3856"
"Kenneth Peterson","CHEM-1154"
"Kevin Schaefer","BIOL-2837"
"Robert Cole","MATH-4437"
"Desiree Smith","ENGR-4148"
"Paula Munoz","CHEM-1877"
"David Ramirez","BIOL-3204"
"Christina Cole","ITWS-4578"
"Robin Thompson","ITWS-3712"
"Brian Obrien","PHYS-4296"
"Amanda Garcia","BIOL-1101"
"Elizabeth Lee","PSYC-1382"
"Caleb Joseph","ENGR-4404"
"Roberto Johnson","PHYS-2334"
"Thomas Valenzuela","ITWS-4824"
"Alexis Nelson","BIOL-2218"
"Hector Smith","MATH-4261"
"Nicole Smith","PHYS-4096"
"Judith Garcia","PHYS-2180"
"Kirk Morrison","ENGR-1960"
"Daniel Tran","PHYS-2562"
"Peter Obrien","BIOL-1375"
"Amber Vance","BIOL-3682"
"Roger Garcia","CHEM-4575"
"Monica Garrison","ITWS-4463"
"Alison Warren","CHEM-1763"
"Susan White","PSYC-4174"
"Eric Garcia","CSCI-2599"
"Daniel Bird","ITWS-3364"
"Noah Hernandez","CSCI-1679"
"Mason Krueger","PSYC-3000"
"William Long","BIOL-2672"
"Carol Sanchez","MATH-4700"
"Sandra Thompson","MATH-1131"
"Margaret Hines","ECSE-3044"
"David Cowan","ENGR-2178"
"Melissa Sanders","CSCI-1368"
"Troy Moss","ITWS-3271"
"Keith Garcia","ITWS-4599"
"Erica Young","BIOL-3226"
"Eric Bell","CSCI-4906"
"Raymond Bennett","PSYC-3307"
"Diana Parks","CSCI-1367"
"Sherri Martin","PHYS-2946"
"Devin Mitchell","CSCI-1068"
"Anthony Farrell","CHEM-3758"
"Daniel Yu","MATH-3445"
"Joshua Morris","BIOL-3773"
"Alexis Tucker","ITWS-1491"
"Jeffrey Deleon","ITWS-3472"
"Emily Ferguson","PHYS-2829"
"Robert Burnett","ECSE-4614"
"Darren Jacobson","ECSE-4005"
"Jeffrey Stout","PHYS-3093"
"Sonya Barnes","PHYS-2478"
"Douglas Randall","PHYS-3411"
"Amanda Morrow","PHYS-3486"
"Christine Martinez","CHEM-3444"
"Darrell Bates","CSCI-2699"
"David Martin","PHYS-3072"
"Katie Robinson","PHYS-1211"
"Alejandro Espinoza","ITWS-4929"
"Kiara Scott","STSO-4621"
"Todd Moore","BIOL-2683"
"Heidi Barron","ITWS-4955"
"Tracy Stark","STSO-1409"
"Devin Clark","CHEM-3902"
"Amber Vance","BIOL-3412"
"Alexander Gomez","ITWS-3712"
"Timothy Burton","BIOL-2719"
"Thomas Singleton","ITWS-3364"
"Tyler Ballard","STSO-2543"
"Arthur Hodge","PHYS-2624"
"Sherri Arnold","MATH-2950"
"Scott Lyons","CSCI-4966"
"John Bennett","ECSE-2927"
"Jared Gates","MATH-2890"
"Adrian Torres","BIOL-3244"
"Kenneth Williams","CHEM-1868"
"Dawn Coleman","CHEM-3851"
"Ashley Perkins","PSYC-4781"
"Amy Young","CHEM-4862"
"Chelsea Duncan","ITWS-1907"
"Shirley Davis","STSO-4887"
"Bryan Woods","CHEM-3237"
"Megan Lozano","ENGR-3874"
"Christina Robinson","CSCI-2135"
"Joseph Bradford","MATH-1626"
"Alexandra Barnes","CHEM-2821"
"Vincent Morris","PSYC-1606"
"Cynthia Powell","PHYS-2841"
"Ryan Hill","MATH-4042"
"Marcus Gibbs","CSCI-4546"
"Elizabeth Martinez","STSO-2947"
"Stacy Hopkins","ENGR-1931"
"Michael Salazar","PHYS-3113"
"Yvonne Mendoza","PHYS-3856"
"Shane Jackson","PSYC-1382"
"Tina Cook","MATH-4708"
"Vanessa Mcdonald","BIOL-2130"
"Ashley Sweeney","CSCI-4969"
"Jessica Smith","BIOL-1719"
"Kathryn Ryan","PSYC-1848"
"Carrie Wolf","CSCI-1833"
"Darlene Lee","ITWS-2630"
"Candace Wang","ENGR-2858"
"Jennifer Young","BIOL-2624"
"Cameron Collins","PHYS-3601"
"Don Martin","BIOL-4094"
"William Armstrong","CSCI-2845"
"Dana Foster","MATH-4601"
"Taylor Ortiz","CHEM-1428"
"Mackenzie Perry","CSCI-4425"
"Anthony Hall","ITWS-3707"
"Michelle Fleming","STSO-4213"
"Kenneth Brooks","PHYS-3786"
"Bonnie Nolan","STSO-2993"
"Brian Gutierrez","CSCI-4125"
"Barry Maxwell","CHEM-4205"
"Kelsey Sawyer","CHEM-4341"
"James Shaffer","CSCI-4906"
"Jill Sparks","PHYS-3071"
"Jeffrey Townsend","CHEM-4130"
"Kathy Rodriguez","STSO-4911"
"Joshua Maxwell","MATH-3677"
"Stephen Carlson","ENGR-2154"
"Jacob Morris","MATH-2577"
"David Silva","CSCI-1734"
"Bruce Perez","ENGR-1134"
"Brandon Edwards","PSYC-4762"
"Heather Wilson","ENGR-2794"
"Patricia Stewart","STSO-1607"
"Angie Perez","CSCI-1976"
"Ana Clayton","ENGR-3883"
"Cassandra Cortez","ITWS-1942"
"Patricia Herrera","PHYS-3952"
"Antonio Phelps","CHEM-3001"
"Christian Martin","ENGR-3845"
"Jason Frazier","STSO-1566"
"Christopher Dixon","STSO-1236"
"Cheryl Wilson","CHEM-1301"
"John Lane","ENGR-3728"
"James Brooks","STSO-2556"
"Travis Mcguire","MATH-4681"
"Lucas Thomas","MATH-1454"
"Jacqueline Parker","STSO-4052"
"Tiffany Mason","ENGR-2858"
"Christopher Richardson","PHYS-2562"
"Bill Reynolds","BIOL-1018"
"Carlos Ramos","MATH-1573"
"Jessica Molina","CHEM-4522"
"Keith Hardin","ITWS-3317"
"Paul Lopez","BIOL-1528"
"Valerie Clements","ENGR-4700"
"Chad Lopez","PHYS-3943"
"Christopher Moore","CSCI-3988"
"Joanne Jackson","ITWS-2789"
"Ronald Mitchell","ECSE-1987"
"Diane Brooks","ENGR-2029"
"Monique Andrews","ITWS-3873"
"Mark Jones","PHYS-4757"
"Jeffrey Shaffer","BIOL-2498"
"Teresa Harrison","MATH-4123"
"Catherine Wilkinson","CSCI-4425"
"Michael Allison","PHYS-3337"
"Jennifer Rice","BIOL-1780"
"Amanda Clark","MATH-2926"
"Johnny Anderson","PHYS-4402"
"Latoya Baldwin","ITWS-4528"
"Matthew Tanner","ENGR-4148"
"Phillip Spence","STSO-1840"
"Kelsey Green","ITWS-4294"
"Colleen Brown","MATH-1781"
"Wesley Wilson","BIOL-4539"
"Joseph Fox","ITWS-3938"
"Cody Rice","ECSE-3028"
"Sean Hill","BIOL-4525"
"Nicholas Bailey","ECSE-4442"
"Edward Velazquez","CHEM-3500"
"Eric Walker","STSO-1631"
"Angela Gallegos","PSYC-1606"
"Eric Martin","ENGR-2780"
"Robert Taylor","PSYC-2684"
"Yolanda Kennedy","ECSE-4680"
"Kimberly West","ITWS-4491"
"Kelly Gonzalez","STSO-3270"
"Nathan Herring","MATH-1102"
"Christina Ramirez","MATH-2843"
"Brian Taylor","ECSE-2955"
"Mallory Cooper","STSO-1862"
"Priscilla Martinez","PHYS-3026"
"Christina Watson","ITWS-1727"
"Justin Harris","ITWS-3654"
"Patrick Eaton","ENGR-4487"
"Stephanie Howell","PSYC-2912"
"Michelle Austin","CHEM-3063"
"Edward Velazquez","CSCI-3890"
"James Le","MATH-2479"
"Mark Wallace","ECSE-4081"
"Jennifer Mcneil","STSO-1467"
"George Tate","ITWS-2315"
"Carlos Clarke","BIOL-2553"
"Kathryn Perry","STSO-2209"
"Chad Baker","MATH-2160"
"Alicia Kent","PSYC-3882"
"Frank Clark","BIOL-2880"
"Michael Salazar","PHYS-2417"
"Dwayne Gonzalez","PSYC-4486"
"Hunter Martinez","CHEM-1610"
"Casey Hubbard","ITWS-3739"
"Sean Bell","PHYS-4051"
"Anthony Dougherty","ENGR-3883"
"Brooke Harvey","CSCI-1976"
"Kevin Hodge","CSCI-3537"
"James Anderson","ECSE-4902"
"Alicia Hammond","BIOL-1753"
"Lisa Everett","PHYS-4549"
"Haley Allen","MATH-1684"
"Mary Hamilton","CSCI-1837"
"Michelle Cherry","PSYC-4621"
"Veronica Smith","CHEM-1878"
"Jeff Arnold","PSYC-2747"
"Mackenzie Perry","PHYS-2399"
"Nicholas Webster","CSCI-1573"
"Natasha Cruz","PSYC-4954"
"Patrick Hernandez","PSYC-4075"
"Jonathan Murphy","ECSE-2140"
"Jacqueline Johnston","PHYS-2345"
"Clayton Kirby","MATH-1381"
"Madison Figueroa","MATH-4817"
"Steven Cortez","ENGR-1883"
"Joshua White","PHYS-2568"
"Andre Weber","PHYS-2478"
"Chad Wilkinson","PHYS-4299"
"Zachary Booker","CHEM-2168"
"Lisa Hampton","BIOL-3166"
"Jeremy Curry","BIOL-3841"
"Victoria Garza","PHYS-2345"
"Rick Daniels","BIOL-1596"
"Angela Lee","STSO-4238"
"Robin Wood","STSO-3442"
"David Parker","CHEM-3384"
"Lisa Young","STSO-3094"
"Vickie Todd","CSCI-4545"
"Danielle Sheppard","BIOL-1057"
"Pamela Chaney","MATH-2354"
"Hector Mullen","BIOL-4339"
"Cindy Rodriguez","ITWS-2025"
"Tara Potts","ECSE-3609"
"Rachel Thomas","MATH-4354"
"Brooke Atkinson","ECSE-2691"
"Teresa Esparza","ECSE-3318"
"Justin Garcia","MATH-3367"
"Andrew Bush","CHEM-3902"
"Jonathan Hess","ITWS-4811"
"Amanda Morrow","PSYC-4424"
"Anthony Gonzalez","MATH-2777"
"Scott Lyons","ENGR-4683"
"Rachel Jensen","ECSE-2956"
"Angel Colon","PHYS-1275"
"John Lynn","ENGR-2882"
"Johnny Adams","ENGR-3879"
"Scott Harris","BIOL-1365"
"Peter Gamble","CHEM-1002"
"Preston Decker","BIOL-4172"
"William Perkins","ITWS-2527"
"Susan Howell","ITWS-3759"
"Connie Jones","CHEM-1359"
"Melissa Hayes","PSYC-1549"
"Roger Johnson","CHEM-3734"
"Julia Barnes","CHEM-3544"
"Kimberly Johnson","CSCI-2479"
"Andrew Aguilar","CHEM-4415"
"Kimberly Henson","BIOL-3059"
"Debbie Campos","BIOL-4378"
"Brian Jones","MATH-2706"
"Nicole Flores","BIOL-3682"
"Blake Shelton","ENGR-3571"
"Katie Boyd","BIOL-2845"
"Juan Long","CSCI-1472"
"Becky Lewis","STSO-1246"
"Kathryn Rodriguez","ENGR-1314"
"Andre Mahoney","BIOL-2033"
"Mark Robinson","CHEM-3267"
"Danielle Miller","CSCI-4906"
"James Cohen","MATH-3495"
"Brandy Jackson","ITWS-2794"
"Jonathan Smith","BIOL-3523"
"Tammy Hammond","CSCI-3849"
"Mark Ross","ITWS-3266"
"Joseph Baxter","CHEM-1597"
"Larry Morris","CHEM-2908"
"Michelle Tran","ITWS-4488"
"Laura French","PHYS-3601"
"Brian Gutierrez","BIOL-1528"
"Christopher Castillo","ITWS-4745"
"Tyler Ramos","MATH-1543"
"Michael Carter","CHEM-3001"
"Kevin Ford","MATH-1599"
"Megan James","PHYS-3543"
"Emily Baker","ECSE-4951"
"Eduardo Bowman","MATH-4238"
"Beth Smith","CHEM-4291"
"Ryan Mejia","MATH-1248"
"Gary Morton","ECSE-4113"
"David Martin","ENGR-4464"
"Sandra Castillo","CSCI-1941"
"Cynthia Gonzalez","ITWS-4528"
"Jordan Abbott","CSCI-3537"
"Isaac Steele","CHEM-3161"
"Cynthia Alvarez","PHYS-2292"
"Peter Parker","MATH-2925"
"Justin Murphy","MATH-1185"
"Joy Willis","ECSE-2140"
"Bryan Kennedy","STSO-3752"
"Cameron Hill","PHYS-3849"
"Kyle Ortiz","CHEM-3384"
"Wayne Jackson","MATH-4871"
"Holly Davis","ECSE-3929"
"Susan Hall","BIOL-4397"
"Manuel Green","PSYC-4207"
"Timothy Chambers","MATH-1381"
"Betty White","CHEM-3509"
"Charles Scott","STSO-2167"
"Mia Hill","PHYS-4120"
"Jennifer Huber","ITWS-3077"
"Joseph Perkins","CSCI-4068"
"Bill Reynolds","CHEM-3509"
"Kimberly Rogers","MATH-1920"
"Robin Brady","ENGR-2505"
"Michele Baker","CHEM-4341"
"Catherine Lee","CHEM-2835"
"Jean Jackson","PHYS-4740"
"Juan Hawkins","MATH-4288"
"Carrie Bowers","ECSE-1160"
"Jeremy Watkins","PHYS-2888"
"Brian George","MATH-1336"
"Tammy Fitzgerald","PSYC-3289"
"Jackson Smith","ENGR-1342"
"John Hester","CHEM-3001"
"Michelle Robinson","PHYS-1816"
"Erin Daugherty","PSYC-1434"
"Emily Robinson","PHYS-4332"
"James Lopez","ITWS-2794"
"Cameron Jackson","MATH-1599"
"Megan Smith","ITWS-1121"
"Mariah Cooper","MATH-1935"
"Kevin Owens","STSO-1181"
"Christopher Dixon","PSYC-4764"
"Jeffrey Scott","STSO-2299"
"Julie Mccall","ITWS-3906"
"Samuel Anderson","STSO-2099"
"Tracy Lawson","BIOL-1956"
"Christopher Hamilton","PHYS-2196"
"Jack Bell","ITWS-3837"
"Krystal Day","MATH-3051"
"Jennifer Tyler","ECSE-4250"
"David Mcdaniel","ECSE-2882"
"Daniel Stokes","ENGR-4487"
"Joseph Cantu","ECSE-4442"
"Miguel Dominguez","BIOL-4172"
"Marissa Kirby","BIOL-2498"
"Eric Shea","BIOL-2336"
"Timothy Yates","CHEM-4519"
"Erik Gardner","ECSE-1617"
"Curtis Dalton","ITWS-3445"
"Kathleen Brown","BIOL-2495"
"Carl Miller","BIOL-2858"
"Jacqueline Reed","CSCI-2621"
"Adam Black","MATH-3913"
"Karen Singh","BIOL-2280"
"Jamie Santana","PSYC-2629"
"Andrew Castillo","MATH-3202"
"Kathleen Wagner","PSYC-3308"
"Melissa Ramos","BIOL-2713"
"David Brown","CSCI-2786"
"Tamara Reynolds","CSCI-1307"
"Jose Sullivan","MATH-1626"
"Sandy Lopez","ENGR-2841"
"Nicole Young","PHYS-4332"
"Lisa Cortez","ITWS-4279"
"Robert Jacobs","CHEM-3152"
"Brady Ramirez","CHEM-2023"
"Sean Williams","PSYC-4284"
"Brittany Bartlett","PHYS-2491"
"Randall Guerrero","MATH-4199"
"Craig Harris","ENGR-1651"
"Paul Morales","ECSE-4754"
"Sarah Foster","PHYS-3693"
"James White","PHYS-3261"
"Rita Harrell","BIOL-2498"
"Austin Romero","ECSE-1450"
"Angela Shields","ITWS-3959"
"Joseph Nolan","CHEM-2439"
"Vanessa Miller","MATH-3310"
"Harry Bailey","MATH-3521"
"Brittney Mccoy","ENGR-3640"
"Janet Moore","CHEM-4909"
"Patrick Yu","ENGR-2544"
"Wayne White","PHYS-2741"
"Veronica Miller","PHYS-2142"
"Fernando Cervantes","MATH-2160"
"Samantha Werner","ENGR-3394"
"Tina Hughes","CSCI-4885"
"Robin Wright","ENGR-3084"
"Robin Dixon","ECSE-4332"
"Carol Rowland","PSYC-1889"
"Briana Pineda","ITWS-4491"
"Crystal Cantrell","ECSE-4001"
"Lisa Davis","PHYS-3113"
"William Mayo","ENGR-2544"
"Catherine Wilkinson","STSO-1840"
"Brian Obrien","PHYS-2953"
"Joseph Lee","ECSE-4090"
"Cameron Baker","CHEM-3185"
"Steven Rivers","STSO-4113"
"David Grant","STSO-4011"
"Elizabeth Mccormick","PHYS-2624"
"Katherine Chandler","CHEM-3758"
"Melanie Cobb","ENGR-2533"
"Jennifer Pena","CSCI-2462"
"Stephanie Dunn","ENGR-3070"
"Rachel Mclean","ENGR-1418"
"Veronica Castro","ITWS-1744"
"David Sullivan","CHEM-1868"
"Larry Garcia","ECSE-1021"
"Joseph Moore","CSCI-2786"
"Jay Johnson","ECSE-2022"
"Brenda Carney","ITWS-3883"
"Susan Jackson","BIOL-2672"
"Stephanie George","ITWS-3266"
"Jennifer Martinez","ENGR-3887"
"Christina Meyer","PHYS-3949"
"Jessica Rodriguez","ECSE-2193"
"Brenda Reyes","STSO-1745"
"Tammy Castillo","STSO-2706"
"Jose Sullivan","CHEM-2902"
"James Turner","PHYS-3949"
"Thomas Hernandez","PSYC-2411"
"Tonya Rocha","CHEM-4752"
"Christopher Mendez","ENGR-3325"
"Kimberly Fox","ECSE-2666"
"Christopher Peck","ENGR-3964"
"Patrick Holt","STSO-1203"
"Richard Calhoun","CSCI-1307"
"Melissa Wood","STSO-3591"
"Bryan Kelley","ECSE-3272"
"Lori Stephens","ITWS-3759"
"Elizabeth Ortiz","PSYC-4687"
"Michael Green","CSCI-1941"
"Bryan Rios","PSYC-3851"
"Jeffery Turner","PHYS-3543"
"Billy Peterson","STSO-3375"
"Virginia Jones","STSO-3953"
"Erin Castaneda","CSCI-2806"
"Adam Acevedo","PSYC-2411"
"William Schmidt","MATH-3882"
"John Walsh","ECSE-3612"
"Sandra Mendoza","BIOL-3075"
"Jeremy Whitehead","PSYC-1544"
"Marilyn Hunt","PHYS-1669"
"Alejandra Park","BIOL-3853"
"Kirk Duran","MATH-4274"
"Mary Bailey","PSYC-1828"
"Lisa Garrett","PHYS-1275"
"Kimberly Bass","ENGR-2630"
"Amy Cantrell","CHEM-3444"
"Lori Oconnell","BIOL-3001"
"David Mahoney","BIOL-2336"
"Amy Black","ENGR-1133"
"Morgan Gonzalez","PSYC-2542"
"William Williams","ITWS-3712"
"Daniel Tran","BIOL-4227"
"Tracey Miller","ITWS-4929"
"Carol Hughes","ENGR-3697"
"Kari Gutierrez","PSYC-4729"
"Troy Adams","PHYS-1913"
"Bethany Snow","PSYC-2585"
"Diane Hoover","CSCI-2441"
"Lynn Jones","PHYS-2316"
"Rebecca Mills","PSYC-1307"
"Eric Brooks","ENGR-2559"
"Teresa Johnson","CSCI-1941"
"Michael Turner","CHEM-3507"
"Benjamin Mclean","ECSE-4081"
"Danny Smith","CSCI-1378"
"Rick Daniels","CHEM-3645"
"Holly Hunter","ITWS-3603"
"Christine Dickson","MATH-2869"
"David Contreras","BIOL-3741"
